2;Biography & Autobiography
3;Religion
4;Fiction
5;Social Science
6;Reference
7;Juvenile Nonfiction
8;Technology & Engineering
9;History
10;New Zealand fiction
11;Law
12;Political Science
13;Health & Fitness
14;Cooking
15;Philosophy
16;Europe
17;Sports & Recreation
18;Body
19;Mind & Spirit
20;Psychology
21;Bible stories
22;English
23;New Thought
24;Crafts & Hobbies
25;Language Arts & Disciplines
26;Juvenile Fiction
27;Foreign Language Study
28;Medical
29;Architecture
30;Art
31;Family & Relationships
32;Literary Collections
33;Merchant marine
34;Spiritualism
35;America
36;Local author
37;Gardening
38;Holocaust
39;Jewish 
40;Meditations
41;Games
42;Science
43;Business & Economics
44;Computers
45;English language
46;Performing Arts
47;Adventure stories
48;Woburn 
49;Modern libraries
50;Families
51;Success
52;Travel
53;Bible
54;Great Britain
55;Illumination of books and manuscripts
56;Dutch
57;Arts
58;American
59;Humor
60;Accounting
61;Mathematics
62;Audiocassettes for children
63;ABAP/4 (Computer program language)
64;Prisoners
65;Nineteen thirties
66;Poetry
67;Mythology
68;Classical
69;Directories
70;Endometriosis
71;Logic
72;Business mathematics
73;Education
74;Health education
75;Ecoterrorism
76;High school dropouts
77;Artists materials
78;Music
79;Jewish ethics
80;Drama
81;Czechoslovakia
82;Coloring books
83;Arctic regions
84;American wit and humor
85;Rodin
86;Auguste
87;Modern literature
88;Nature
89;Audiobooks
90;World War
91;Worlds2022
92;Norway
93;Heroes
94;Symbolic and mathematical
95;American Confederate voluntary exiles
96;Bibles
97;Literary Criticism
98;Christian life
99;Chile
100;Authors
101;Irish
102;Detective and mystery stories
103;JUVENILE NONFICTION
104;Golf
105;Constitutional law
106;Caterpillars
107;Design
108;Physical fitness
109;Humanism
110;Best books
111;House buying
112;Feminism
113;Library science
114;Livingston County 
115;Antiques & Collectibles
116;East Asia
117;French language
118;Soil conservation
119;Civilization
120;Medieval
121;Diaries
122;Photography
123;Floor coverings
124;Bears
125;Self-Help
126;Condominium 
127;Acteurs 
128;Ice cream
129;ices
130;butter
131;Business enterprises
132;Devotional calendars
133;Medicine ball
134;Church and state
135;Bus travel
136;Authorship
137;Intelligence officers
138;Airplanes
139;Military
140;Girls
141;Goddesses
142;American fiction
143;Corporation law
144;Common fallacies
145;Prints
146;Vietnam War
147;Korea war
148;Science fiction
149;House & Home
150;Old literature
151;School yearbooks
152;California
153;Copyright
154;Presbyterian Church
155;Ghost stories
156;Alaska
157;Languages
158;Modern
159;Legislative calendars
160;Sex (Psychology)
161;Canada Imprints
162;Firearms owners
163;Intellect
164;Katy
165;Russia
166;Baptism
167;Hydrology
168;Agricultural chemistry
169;Devil
170;Diazepam
171;Arthurian romances
172;Class actions 
173;Study Aids
174;Young Adult Fiction
175;Pets
176;Nuclear arms control
177;Fancy work
178;Natural history
179;Artists
180; Australian
181;Ethnology in the Bible
182;Puerto Rican poetry
183;Youth
184;Economics
185;Church group work
186;Dungeons and Dragons 
187;Indian captivities
188;Sermons
189;Abortion counseling
190;Child development
191;Multiple personality
192;Apologetics
193;Fathers and sons
194;Law reports
195; digests
196;Social psychology
197;Surrealism
198;Christian saints
199;Breeding
200;Aging
201;Dutch language
202;Aunts
203;Presidents
204;Hummingbirds
205;Tarot
206;Monkeys
207;Architecture and solar radiation
208;Afghanistan
209;Satire
210;Horses
211;Death
212;Large type books
213;Fatherhood
214;Thought and thinking
215;Animal industry
216;African American musicians
217;Linguistics
218;True Crime
219;Games & Activities
220;Warships
221;Cookbooks
222;Anthroposophy
223;Piano
224;Monk
225;William (Fictitious character)
226;Pentecostalism
227;Corrections
228;American literature
229;Evidence (Law)
230;Large print books
231;Qu«?∂˜bec (Province)
232;English drama
233;God
234;Government publications
235;Botswana
236;Garlic
237;Painting
238;Devotional literature
239;Bonds
240;New England
241;Chinese language
242;Automobiles
243; Racing
244;Abused children
245;Aeronautics
246;Christian poetry
247;Future life
248;Children poetry
249;English
250;Aboriginal Australians
251;Adult children
252;Kentucky
253;Mormon Church
254;Multiple sclerosis
255;Boraginaceae
256;Health insurance
257;Ship brokers
258;Fantasy fiction
259;Stunt flying
260;Violin
261;Americans
262;Vocabulary
263;Alabama
264;Calligraphy
265;Spanish language
266;Fairy tales
267; Greek
268;Motion picture actors and actresses
269;Self-publishing
270;Eschatology
271;Transportation
272;Children stories
273;Firearms
274;Dee Jen-Djieh (Fictitious character)
275;Railroads
276;Arboviruses
277;Thai language
278;American poetry.
279;Book burning
280;French fiction
281;Periodicals
282;Domestic fiction
283;Body Life
284;Exterior walls
285;Christian ethics
286;Siskiyou Mountains (Calif. and Or.)
287;Fog
288;Dusty (Fictitious character)
289;Greece
290;Amateur films
291;Business presentations
292;Cooks
293;Cognitive psychology
294;Motion pictures
295;Poland
296;Flagellation
297;CD-ROMs
298;Electronic journals
299;Job hunting
300;Climbing knots
301;Cardiovascular system
302;Northwest
303; Old
304;Fantasy games
305;Yiddish language
306;Database management
307;Paris (France)
308;Anxiety
309;Critical theory
310;Communism
311;Knights and knighthood
312;Short stories
313; Russian
314;College readers
315;Christmas
316;Beatitudes
317;Peacock
318; Thomas Love
319; 1785-1866
320;Biologists
321;Marijuana
322;Indians of North America
323;Diet
324;Nightmares
325;Biography
326;Current events
327;Lao language
328;Aircraft carriers
329;Pel
330; Chief Inspector (Fictitious character)
331;Mine railroads
332;Journalism
333;Predation (Biology)
334;Credit cards
335;Parables
336;NON-CLASSIFIABLE.
337;Ontario
338;Microwave cooking
339;Advertising agencies
340;Business
341;Surveying
342;Celts
343;Dysfunctional families
344;Hotels
345;Medicine
346;Command of troops
347;Leadership
348;France
349;Cognition
350;Ballets
351;Conduct of life
352;Brothers and sisters
353;Cross-country running
354;Children
355;Crown jewels
356;Bread
357;Folklore
358;Film criticism
359;Lunar geology
360;Language arts (Primary)
361;Indian mythology
362;Plumbing
363;London (England)
364;Domestic
365;Censorship
366;Generals
367;Bealeton (Va.)
368;Jazz
369;United States
370;Holocaust survivors
371;FAMILY & RELATIONSHIPS
372;Babysitters
373;Tragedy
374;Entomology
375;Crystal optics
376;Bulldozers
377;Colombia
378;Grandfathers
379;Canadian fiction
380;High schools
381;Soldiers
382;Artistic
383;Prostate
384;Children's songs
385;India
386;Celtic literature
387;African Americans
388;Amazon River Region
389;Self-actualization (Psychology)
390;Dracula
391; Count (Fictitious character)
392;Baseball
393;Historical fiction
394;Travel in literature
395;Clairvoyance
396;Repentance
397;Sandwiches
398;Blood
399;Real estate business
400;Germany
401;Personality tests
402;Cells
403;Mississippi River
404;Hand weaving
405;Hmong (Asian people)
406;Earth (Planet)
407;Voyages around the world
408;Prophecies
409;Animals
410;Astronomy
411;Science fiction
412;Fantasy
413;Women
414;Horsemanship
415;Hindus
416;Wit and humor
417;Fishing
418;Canada
419;Abd al-Bah«??a
420;Wilson
421;Affiliate programs (World Wide Web)
422;Paris Peace Conference
423;Produce trade
424;English fiction
425;Geography
426;Eastern Pomo language
427;Birds
428;Aquarium fishes
429;Argentina
430;Comic books
431;Hilarius
432;Chiropractic
433;Poor
434;Alfie Bear (Fictitious character)
435;Blue and white transfer ware
436;Christianity
437;Figural light bulbs
438;Psychoanalysis
439;Finance
440; Personal
441;Egypt
442;Romania
443;Economic history
444;England
445;New Orleans (La.)
446;Detroit (Mich.)
447;Intrenchments
448;Abalone fisheries
449;Esperanto
450;City and town life
451;Cats
452;Brass instruments
453;Probabilities
454;Wine and wine making
455;Frontier and pioneer life
456;Advertising
457; Direct-mail
458;People with disabilities
459;Qur
460;Abduction
461;Child sexual abuse
462;Beowulf
463;Macintosh (Computer)
464;Videodiscs
465;Virginia
466;Union catalogs
467;Berkeley (Calif.)
468;Publishers catalogs
469;Mountaineering
470;Decoration and ornament
471;Dogs
472;Jigs and fixtures
473;Career changes
474;Glow-in-the-dark books
475;Melanchthon
476; Philipp
477;Books
478;Slavery
479;Health
480;Constitutional history
481;Grand Rapids (Mich.)
482;Equations
483;Theory of love
484;Missionaries
485;Meteor Crater (Ariz.)
486;Socialism
487;Santa Claus
488;Comedy
489;Espinoge
490;Soviet
491;Agricultural ecology
492;Football players
493;Denali National Park and Preserve (Alaska)
494;American poetry
495;Dating (Social customs)
496;Gaia hypothesis
497;Dream interpretation
498;Human skeleton
499;Extraterrestrial beings
500;Geophysics
501;Apartment dwellers
502;Businessmen
503;Historiography.
504;Cargo cults
505;Alleyn
506;Roderick (Fictitious character)
507;Accelerated readers
508;Cowboys
509;Books and reading
510;Cookery
511;Immortality
512;City planning
513;Japan
514;Young Adult Nonfiction
515;Russian poetry
516;Entertainers
517;Christmas cooking
518;Turkey hunting
519;Calculus
520;Jewish fiction
521;Social history
522;Emotions
523;Adams
524; Samuel
525;Coal miners
526;Libya
527;Negotiation in business
528;Courtship
529;Statesmen
530;Jewish philosophers
531;Private investigators
532;China
533;Highway planning
534;Glass candlesticks
535;Crusades
536;Biological warfare
537;Dinners and dining
538;Multicultural education
539;Halloween
540;Hunting
541;Patents
542;Beer
543;Judaism
544;Equity
545;Theater
546;Slaves
547;Communication
548;Composers
549;Country life
550;Antarctica
551;Alexandria (Egypt)
552;Cotswold Hills (England)
553;Back
554;Exercise
555;Cartooning
556;Africa
557;West
558;Career development
559;Catalogs
560;Union
561;Arab-Israeli conflict
562;Adolescence
563;Atonement
564;Infants (Newborn)
565;International economic relations
566;Veto
567;Cornwall (England : County)
568;Creative activities and seat work
569;Parliamentary practice.
570;Banks and banking
571;Swiss
